Title,Price,Rating,Image,Ad/Organic
"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W","22,969",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71mQMASiF7L._AC_UY218_.jpg,Organic
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU","31,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/7184yGb0PsL._AC_UY218_.jpg,Organic
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","38,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,Organic
"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB,MSO,Thin & Light, Dual speakers (Win 11, Silver, 1.69 kg), fq5330TU","52,490",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71svDE-zMXL._AC_UY218_.jpg,Organic
"Dell 14 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/1.48kg","35,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71tSrDl1TaL._AC_UY218_.jpg,Organic
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 2021/Alexa built-in/3 month Game Pass/Grey/1.62Kg), 83EM008GIN","61,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/81epBowa4UL._AC_UY218_.jpg,Organic
"ASUS VivoBook 15 (2021) Thin and Light Laptop, Dual Core Intel Celeron N4020, 15.6-inch (39.62 cm) HD, (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","22,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71lYhcc++AL._AC_UY218_.jpg,Organic
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","16,990",3.5 out of 5 stars,https://m.media-amazon.com/images/I/61H76AyN6pL._AC_UY218_.jpg,Organic
"[Smart Choice] Lenovo IdeaPad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN","45,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/81rSur88g3L._AC_UY218_.jpg,Organic
"Lenovo LOQ 2024 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/100% sRGB/3 Mon. Game Pass/Grey/2.4Kg), 83GS003NIN","65,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/81tmCrtiRgL._AC_UY218_.jpg,Organic
"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, 720p HD camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5009TU","51,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71BmqssGuRL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Intel Celeron N4020, 15.6"" (39.62 cms) HD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), X515MA-BR022WS","27,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71lYhcc++AL._AC_UY218_.jpg,Organic
"HP Laptop 15, 13th Gen Intel Core i3-1315U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Thin & light, Intel Iris Xáµ‰ graphics, Dual speakers (Win 11, MSO 2021, Silver, 1.59 kg), fd0006TU","40,980",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61VhooAPeVL._AC_UY218_.jpg,Organic
"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","28,999",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61CC9Mx2+aL._AC_UY218_.jpg,Organic
"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU","38,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71geuDTcr-L._AC_UY218_.jpg,Organic
"HP C640 10th Gen Intel Core i5 Thin & Light Touchscreen FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC | 14"" (35.6 cm) FHD | Chrome OS | WiFi | Bluetooth | Intel Integrated Graphics)",N/A,N/A,https://m.media-amazon.com/images/I/61F6aeuiTPL._AC_UY218_.jpg,Organic
